premise,hypothesis,label
He denies cigarettes smoking or alcohol intake.,The person has access to transportation.,False
He denies cigarettes smoking or alcohol intake.,The person was a smoker in the past.,False
He denies cigarettes smoking or alcohol intake.,The person is able to obtain food on a consistent basis.,False
He denies cigarettes smoking or alcohol intake.,The person is currently a smoker.,False
He denies cigarettes smoking or alcohol intake.,The person currently drinks alcohol.,False
He denies cigarettes smoking or alcohol intake.,The person drank alcohol in the past.,False
He denies cigarettes smoking or alcohol intake.,The person is employed part time.,False
He denies cigarettes smoking or alcohol intake.,The person is employed.,False
He denies cigarettes smoking or alcohol intake.,The person lives in a housing facility.,False
He denies cigarettes smoking or alcohol intake.,The person lives in their own or their family's home.,False
He denies cigarettes smoking or alcohol intake.,The person is a homemaker.,False
He denies cigarettes smoking or alcohol intake.,The person wasn't a smoker in the past.,False
He denies cigarettes smoking or alcohol intake.,The person is currently not a smoker.,True
He denies cigarettes smoking or alcohol intake.,The person currently does not drink alcohol.,True
He denies cigarettes smoking or alcohol intake.,The person did not drink alcohol in the past.,False
He denies cigarettes smoking or alcohol intake.,The person is not employed.,False
He denies cigarettes smoking or alcohol intake.,The person did not use cocaine in the past.,False
He denies cigarettes smoking or alcohol intake.,The person wasn't a drug user in the past.,False
He denies cigarettes smoking or alcohol intake.,The person did not use marijuana in the past.,False
He denies cigarettes smoking or alcohol intake.,The person did not use opioids in the past.,False
He denies cigarettes smoking or alcohol intake.,The person does not use cocaine.,False
He denies cigarettes smoking or alcohol intake.,The person is not a drug user.,False
He denies cigarettes smoking or alcohol intake.,The person does not use marijuana.,False
He denies cigarettes smoking or alcohol intake.,The person does not use opioids.,False
He denies cigarettes smoking or alcohol intake.,The person lives in their own or their family's home.,False
He denies cigarettes smoking or alcohol intake.,The person is retired due to age or preference.,False
He denies cigarettes smoking or alcohol intake.,The person is retired due to disability.,False
He denies cigarettes smoking or alcohol intake.,The person is retired due to an unknown reason.,False
He denies cigarettes smoking or alcohol intake.,The person is a student.,False
He denies cigarettes smoking or alcohol intake.,The person used cocaine in the past.,False
He denies cigarettes smoking or alcohol intake.,The person was a drug user in the past.,False
He denies cigarettes smoking or alcohol intake.,The person used marijuana in the past.,False
He denies cigarettes smoking or alcohol intake.,The person used opioids in the past.,False
He denies cigarettes smoking or alcohol intake.,The person uses cocaine.,False
He denies cigarettes smoking or alcohol intake.,The person is a drug user.,False
He denies cigarettes smoking or alcohol intake.,The person uses marijuana.,False
He denies cigarettes smoking or alcohol intake.,The person uses opioids.,False
He denies illicit drug use,The person has access to transportation.,False
He denies illicit drug use,The person was a smoker in the past.,False
He denies illicit drug use,The person is able to obtain food on a consistent basis.,False
He denies illicit drug use,The person is currently a smoker.,False
He denies illicit drug use,The person currently drinks alcohol.,False
He denies illicit drug use,The person drank alcohol in the past.,False
He denies illicit drug use,The person is employed part time.,False
He denies illicit drug use,The person is employed.,False
He denies illicit drug use,The person lives in a housing facility.,False
He denies illicit drug use,The person lives in their own or their family's home.,False
He denies illicit drug use,The person is a homemaker.,False
He denies illicit drug use,The person wasn't a smoker in the past.,False
He denies illicit drug use,The person is currently not a smoker.,False
He denies illicit drug use,The person currently does not drink alcohol.,False
He denies illicit drug use,The person did not drink alcohol in the past.,False
He denies illicit drug use,The person is not employed.,False
He denies illicit drug use,The person did not use cocaine in the past.,False
He denies illicit drug use,The person wasn't a drug user in the past.,False
He denies illicit drug use,The person did not use marijuana in the past.,False
He denies illicit drug use,The person did not use opioids in the past.,False
He denies illicit drug use,The person does not use cocaine.,False
He denies illicit drug use,The person is not a drug user.,True
He denies illicit drug use,The person does not use marijuana.,False
He denies illicit drug use,The person does not use opioids.,False
He denies illicit drug use,The person lives in their own or their family's home.,False
He denies illicit drug use,The person is retired due to age or preference.,False
He denies illicit drug use,The person is retired due to disability.,False
He denies illicit drug use,The person is retired due to an unknown reason.,False
He denies illicit drug use,The person is a student.,False
He denies illicit drug use,The person used cocaine in the past.,False
He denies illicit drug use,The person was a drug user in the past.,False
He denies illicit drug use,The person used marijuana in the past.,False
He denies illicit drug use,The person used opioids in the past.,False
He denies illicit drug use,The person uses cocaine.,False
He denies illicit drug use,The person is a drug user.,False
He denies illicit drug use,The person uses marijuana.,False
He denies illicit drug use,The person uses opioids.,False
He denies tobacco or alcohol consumption.,The person has access to transportation.,False
He denies tobacco or alcohol consumption.,The person was a smoker in the past.,False
He denies tobacco or alcohol consumption.,The person is able to obtain food on a consistent basis.,False
He denies tobacco or alcohol consumption.,The person is currently a smoker.,False
He denies tobacco or alcohol consumption.,The person currently drinks alcohol.,False
He denies tobacco or alcohol consumption.,The person drank alcohol in the past.,False
He denies tobacco or alcohol consumption.,The person is employed part time.,False
He denies tobacco or alcohol consumption.,The person is employed.,False
He denies tobacco or alcohol consumption.,The person lives in a housing facility.,False
He denies tobacco or alcohol consumption.,The person lives in their own or their family's home.,False
He denies tobacco or alcohol consumption.,The person is a homemaker.,False
He denies tobacco or alcohol consumption.,The person wasn't a smoker in the past.,False
He denies tobacco or alcohol consumption.,The person is currently not a smoker.,True
He denies tobacco or alcohol consumption.,The person currently does not drink alcohol.,True
He denies tobacco or alcohol consumption.,The person did not drink alcohol in the past.,False
He denies tobacco or alcohol consumption.,The person is not employed.,False
He denies tobacco or alcohol consumption.,The person did not use cocaine in the past.,False
He denies tobacco or alcohol consumption.,The person wasn't a drug user in the past.,False
He denies tobacco or alcohol consumption.,The person did not use marijuana in the past.,False
He denies tobacco or alcohol consumption.,The person did not use opioids in the past.,False
He denies tobacco or alcohol consumption.,The person does not use cocaine.,False
He denies tobacco or alcohol consumption.,The person is not a drug user.,False
He denies tobacco or alcohol consumption.,The person does not use marijuana.,False
He denies tobacco or alcohol consumption.,The person does not use opioids.,False
He denies tobacco or alcohol consumption.,The person lives in their own or their family's home.,False
He denies tobacco or alcohol consumption.,The person is retired due to age or preference.,False
He denies tobacco or alcohol consumption.,The person is retired due to disability.,False
He denies tobacco or alcohol consumption.,The person is retired due to an unknown reason.,False
He denies tobacco or alcohol consumption.,The person is a student.,False
He denies tobacco or alcohol consumption.,The person used cocaine in the past.,False
He denies tobacco or alcohol consumption.,The person was a drug user in the past.,False
He denies tobacco or alcohol consumption.,The person used marijuana in the past.,False
He denies tobacco or alcohol consumption.,The person used opioids in the past.,False
He denies tobacco or alcohol consumption.,The person uses cocaine.,False
He denies tobacco or alcohol consumption.,The person is a drug user.,False
He denies tobacco or alcohol consumption.,The person uses marijuana.,False
He denies tobacco or alcohol consumption.,The person uses opioids.,False
He denies tobacco use,The person has access to transportation.,False
He denies tobacco use,The person was a smoker in the past.,False
He denies tobacco use,The person is able to obtain food on a consistent basis.,False
He denies tobacco use,The person is currently a smoker.,False
He denies tobacco use,The person currently drinks alcohol.,False
He denies tobacco use,The person drank alcohol in the past.,False
He denies tobacco use,The person is employed part time.,False
He denies tobacco use,The person is employed.,False
He denies tobacco use,The person lives in a housing facility.,False
He denies tobacco use,The person lives in their own or their family's home.,False
He denies tobacco use,The person is a homemaker.,False
He denies tobacco use,The person wasn't a smoker in the past.,False
He denies tobacco use,The person is currently not a smoker.,True
He denies tobacco use,The person currently does not drink alcohol.,False
He denies tobacco use,The person did not drink alcohol in the past.,False
He denies tobacco use,The person is not employed.,False
He denies tobacco use,The person did not use cocaine in the past.,False
He denies tobacco use,The person wasn't a drug user in the past.,False
He denies tobacco use,The person did not use marijuana in the past.,False
He denies tobacco use,The person did not use opioids in the past.,False
He denies tobacco use,The person does not use cocaine.,False
He denies tobacco use,The person is not a drug user.,False
He denies tobacco use,The person does not use marijuana.,False
He denies tobacco use,The person does not use opioids.,False
He denies tobacco use,The person lives in their own or their family's home.,False
He denies tobacco use,The person is retired due to age or preference.,False
He denies tobacco use,The person is retired due to disability.,False
He denies tobacco use,The person is retired due to an unknown reason.,False
He denies tobacco use,The person is a student.,False
He denies tobacco use,The person used cocaine in the past.,False
He denies tobacco use,The person was a drug user in the past.,False
He denies tobacco use,The person used marijuana in the past.,False
He denies tobacco use,The person used opioids in the past.,False
He denies tobacco use,The person uses cocaine.,False
He denies tobacco use,The person is a drug user.,False
He denies tobacco use,The person uses marijuana.,False
He denies tobacco use,The person uses opioids.,False
He denies use of alcohol.,The person has access to transportation.,False
He denies use of alcohol.,The person was a smoker in the past.,False
He denies use of alcohol.,The person is able to obtain food on a consistent basis.,False
He denies use of alcohol.,The person is currently a smoker.,False
He denies use of alcohol.,The person currently drinks alcohol.,False
He denies use of alcohol.,The person drank alcohol in the past.,False
He denies use of alcohol.,The person is employed part time.,False
He denies use of alcohol.,The person is employed.,False
He denies use of alcohol.,The person lives in a housing facility.,False
He denies use of alcohol.,The person lives in their own or their family's home.,False
He denies use of alcohol.,The person is a homemaker.,False
He denies use of alcohol.,The person wasn't a smoker in the past.,False
He denies use of alcohol.,The person is currently not a smoker.,False
He denies use of alcohol.,The person currently does not drink alcohol.,True
He denies use of alcohol.,The person did not drink alcohol in the past.,False
He denies use of alcohol.,The person is not employed.,False
He denies use of alcohol.,The person did not use cocaine in the past.,False
He denies use of alcohol.,The person wasn't a drug user in the past.,False
He denies use of alcohol.,The person did not use marijuana in the past.,False
He denies use of alcohol.,The person did not use opioids in the past.,False
He denies use of alcohol.,The person does not use cocaine.,False
He denies use of alcohol.,The person is not a drug user.,False
He denies use of alcohol.,The person does not use marijuana.,False
He denies use of alcohol.,The person does not use opioids.,False
He denies use of alcohol.,The person lives in their own or their family's home.,False
He denies use of alcohol.,The person is retired due to age or preference.,False
He denies use of alcohol.,The person is retired due to disability.,False
He denies use of alcohol.,The person is retired due to an unknown reason.,False
He denies use of alcohol.,The person is a student.,False
He denies use of alcohol.,The person used cocaine in the past.,False
He denies use of alcohol.,The person was a drug user in the past.,False
He denies use of alcohol.,The person used marijuana in the past.,False
He denies use of alcohol.,The person used opioids in the past.,False
He denies use of alcohol.,The person uses cocaine.,False
He denies use of alcohol.,The person is a drug user.,False
He denies use of alcohol.,The person uses marijuana.,False
He denies use of alcohol.,The person uses opioids.,False
He does admit to one half pack of cigarette consumption per day,The person has access to transportation.,False
He does admit to one half pack of cigarette consumption per day,The person was a smoker in the past.,False
He does admit to one half pack of cigarette consumption per day,The person is able to obtain food on a consistent basis.,False
He does admit to one half pack of cigarette consumption per day,The person is currently a smoker.,True
He does admit to one half pack of cigarette consumption per day,The person currently drinks alcohol.,False
He does admit to one half pack of cigarette consumption per day,The person drank alcohol in the past.,False
He does admit to one half pack of cigarette consumption per day,The person is employed part time.,False
He does admit to one half pack of cigarette consumption per day,The person is employed.,False
He does admit to one half pack of cigarette consumption per day,The person lives in a housing facility.,False
He does admit to one half pack of cigarette consumption per day,The person lives in their own or their family's home.,False
He does admit to one half pack of cigarette consumption per day,The person is a homemaker.,False
He does admit to one half pack of cigarette consumption per day,The person wasn't a smoker in the past.,False
He does admit to one half pack of cigarette consumption per day,The person is currently not a smoker.,False
He does admit to one half pack of cigarette consumption per day,The person currently does not drink alcohol.,False
He does admit to one half pack of cigarette consumption per day,The person did not drink alcohol in the past.,False
He does admit to one half pack of cigarette consumption per day,The person is not employed.,False
He does admit to one half pack of cigarette consumption per day,The person did not use cocaine in the past.,False
He does admit to one half pack of cigarette consumption per day,The person wasn't a drug user in the past.,False
He does admit to one half pack of cigarette consumption per day,The person did not use marijuana in the past.,False
He does admit to one half pack of cigarette consumption per day,The person did not use opioids in the past.,False
He does admit to one half pack of cigarette consumption per day,The person does not use cocaine.,False
He does admit to one half pack of cigarette consumption per day,The person is not a drug user.,False
He does admit to one half pack of cigarette consumption per day,The person does not use marijuana.,False
He does admit to one half pack of cigarette consumption per day,The person does not use opioids.,False
He does admit to one half pack of cigarette consumption per day,The person lives in their own or their family's home.,False
He does admit to one half pack of cigarette consumption per day,The person is retired due to age or preference.,False
He does admit to one half pack of cigarette consumption per day,The person is retired due to disability.,False
He does admit to one half pack of cigarette consumption per day,The person is retired due to an unknown reason.,False
He does admit to one half pack of cigarette consumption per day,The person is a student.,False
He does admit to one half pack of cigarette consumption per day,The person used cocaine in the past.,False
He does admit to one half pack of cigarette consumption per day,The person was a drug user in the past.,False
He does admit to one half pack of cigarette consumption per day,The person used marijuana in the past.,False
He does admit to one half pack of cigarette consumption per day,The person used opioids in the past.,False
He does admit to one half pack of cigarette consumption per day,The person uses cocaine.,False
He does admit to one half pack of cigarette consumption per day,The person is a drug user.,False
He does admit to one half pack of cigarette consumption per day,The person uses marijuana.,False
He does admit to one half pack of cigarette consumption per day,The person uses opioids.,False
He does drink alcohol socially,The person has access to transportation.,False
He does drink alcohol socially,The person was a smoker in the past.,False
He does drink alcohol socially,The person is able to obtain food on a consistent basis.,False
He does drink alcohol socially,The person is currently a smoker.,False
He does drink alcohol socially,The person currently drinks alcohol.,True
He does drink alcohol socially,The person drank alcohol in the past.,False
He does drink alcohol socially,The person is employed part time.,False
He does drink alcohol socially,The person is employed.,False
He does drink alcohol socially,The person lives in a housing facility.,False
He does drink alcohol socially,The person lives in their own or their family's home.,False
He does drink alcohol socially,The person is a homemaker.,False
He does drink alcohol socially,The person wasn't a smoker in the past.,False
He does drink alcohol socially,The person is currently not a smoker.,False
He does drink alcohol socially,The person currently does not drink alcohol.,False
He does drink alcohol socially,The person did not drink alcohol in the past.,False
He does drink alcohol socially,The person is not employed.,False
He does drink alcohol socially,The person did not use cocaine in the past.,False
He does drink alcohol socially,The person wasn't a drug user in the past.,False
He does drink alcohol socially,The person did not use marijuana in the past.,False
He does drink alcohol socially,The person did not use opioids in the past.,False
He does drink alcohol socially,The person does not use cocaine.,False
He does drink alcohol socially,The person is not a drug user.,False
He does drink alcohol socially,The person does not use marijuana.,False
He does drink alcohol socially,The person does not use opioids.,False
He does drink alcohol socially,The person lives in their own or their family's home.,False
He does drink alcohol socially,The person is retired due to age or preference.,False
He does drink alcohol socially,The person is retired due to disability.,False
He does drink alcohol socially,The person is retired due to an unknown reason.,False
He does drink alcohol socially,The person is a student.,False
He does drink alcohol socially,The person used cocaine in the past.,False
He does drink alcohol socially,The person was a drug user in the past.,False
He does drink alcohol socially,The person used marijuana in the past.,False
He does drink alcohol socially,The person used opioids in the past.,False
He does drink alcohol socially,The person uses cocaine.,False
He does drink alcohol socially,The person is a drug user.,False
He does drink alcohol socially,The person uses marijuana.,False
He does drink alcohol socially,The person uses opioids.,False
He does drink six beers a day.,The person has access to transportation.,False
He does drink six beers a day.,The person was a smoker in the past.,False
He does drink six beers a day.,The person is able to obtain food on a consistent basis.,False
He does drink six beers a day.,The person is currently a smoker.,False
He does drink six beers a day.,The person currently drinks alcohol.,True
He does drink six beers a day.,The person drank alcohol in the past.,False
He does drink six beers a day.,The person is employed part time.,False
He does drink six beers a day.,The person is employed.,False
He does drink six beers a day.,The person lives in a housing facility.,False
He does drink six beers a day.,The person lives in their own or their family's home.,False
He does drink six beers a day.,The person is a homemaker.,False
He does drink six beers a day.,The person wasn't a smoker in the past.,False
He does drink six beers a day.,The person is currently not a smoker.,False
He does drink six beers a day.,The person currently does not drink alcohol.,False
He does drink six beers a day.,The person did not drink alcohol in the past.,False
He does drink six beers a day.,The person is not employed.,False
He does drink six beers a day.,The person did not use cocaine in the past.,False
He does drink six beers a day.,The person wasn't a drug user in the past.,False
He does drink six beers a day.,The person did not use marijuana in the past.,False
He does drink six beers a day.,The person did not use opioids in the past.,False
He does drink six beers a day.,The person does not use cocaine.,False
He does drink six beers a day.,The person is not a drug user.,False
He does drink six beers a day.,The person does not use marijuana.,False
He does drink six beers a day.,The person does not use opioids.,False
He does drink six beers a day.,The person lives in their own or their family's home.,False
He does drink six beers a day.,The person is retired due to age or preference.,False
He does drink six beers a day.,The person is retired due to disability.,False
He does drink six beers a day.,The person is retired due to an unknown reason.,False
He does drink six beers a day.,The person is a student.,False
He does drink six beers a day.,The person used cocaine in the past.,False
He does drink six beers a day.,The person was a drug user in the past.,False
He does drink six beers a day.,The person used marijuana in the past.,False
He does drink six beers a day.,The person used opioids in the past.,False
He does drink six beers a day.,The person uses cocaine.,False
He does drink six beers a day.,The person is a drug user.,False
He does drink six beers a day.,The person uses marijuana.,False
He does drink six beers a day.,The person uses opioids.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person has access to transportation.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person was a smoker in the past.,True
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person is able to obtain food on a consistent basis.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person is currently a smoker.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person currently drinks alcohol.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person drank alcohol in the past.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person is employed part time.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person is employed.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person lives in a housing facility.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person lives in their own or their family's home.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person is a homemaker.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person wasn't a smoker in the past.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person is currently not a smoker.,True
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person currently does not drink alcohol.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person did not drink alcohol in the past.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person is not employed.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person did not use cocaine in the past.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person wasn't a drug user in the past.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person did not use marijuana in the past.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person did not use opioids in the past.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person does not use cocaine.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person is not a drug user.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person does not use marijuana.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person does not use opioids.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person lives in their own or their family's home.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person is retired due to age or preference.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person is retired due to disability.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person is retired due to an unknown reason.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person is a student.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person used cocaine in the past.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person was a drug user in the past.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person used marijuana in the past.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person used opioids in the past.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person uses cocaine.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person is a drug user.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person uses marijuana.,False
"He does have a smoking history, about a 20 pack-year history and he reports quitting on July 27",The person uses opioids.,False
He does have chronic alcohol use.,The person has access to transportation.,False
He does have chronic alcohol use.,The person was a smoker in the past.,False
He does have chronic alcohol use.,The person is able to obtain food on a consistent basis.,False
He does have chronic alcohol use.,The person is currently a smoker.,False
He does have chronic alcohol use.,The person currently drinks alcohol.,True
He does have chronic alcohol use.,The person drank alcohol in the past.,False
He does have chronic alcohol use.,The person is employed part time.,False
He does have chronic alcohol use.,The person is employed.,False
He does have chronic alcohol use.,The person lives in a housing facility.,False
He does have chronic alcohol use.,The person lives in their own or their family's home.,False
He does have chronic alcohol use.,The person is a homemaker.,False
He does have chronic alcohol use.,The person wasn't a smoker in the past.,False
He does have chronic alcohol use.,The person is currently not a smoker.,False
He does have chronic alcohol use.,The person currently does not drink alcohol.,False
He does have chronic alcohol use.,The person did not drink alcohol in the past.,False
He does have chronic alcohol use.,The person is not employed.,False
He does have chronic alcohol use.,The person did not use cocaine in the past.,False
He does have chronic alcohol use.,The person wasn't a drug user in the past.,False
He does have chronic alcohol use.,The person did not use marijuana in the past.,False
He does have chronic alcohol use.,The person did not use opioids in the past.,False
He does have chronic alcohol use.,The person does not use cocaine.,False
He does have chronic alcohol use.,The person is not a drug user.,False
He does have chronic alcohol use.,The person does not use marijuana.,False
He does have chronic alcohol use.,The person does not use opioids.,False
He does have chronic alcohol use.,The person lives in their own or their family's home.,False
He does have chronic alcohol use.,The person is retired due to age or preference.,False
He does have chronic alcohol use.,The person is retired due to disability.,False
He does have chronic alcohol use.,The person is retired due to an unknown reason.,False
He does have chronic alcohol use.,The person is a student.,False
He does have chronic alcohol use.,The person used cocaine in the past.,False
He does have chronic alcohol use.,The person was a drug user in the past.,False
He does have chronic alcohol use.,The person used marijuana in the past.,False
He does have chronic alcohol use.,The person used opioids in the past.,False
He does have chronic alcohol use.,The person uses cocaine.,False
He does have chronic alcohol use.,The person is a drug user.,False
He does have chronic alcohol use.,The person uses marijuana.,False
He does have chronic alcohol use.,The person uses opioids.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person has access to transportation.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person was a smoker in the past.,True
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person is able to obtain food on a consistent basis.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person is currently a smoker.,True
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person currently drinks alcohol.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person drank alcohol in the past.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person is employed part time.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person is employed.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person lives in a housing facility.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person lives in their own or their family's home.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person is a homemaker.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person wasn't a smoker in the past.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person is currently not a smoker.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person currently does not drink alcohol.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person did not drink alcohol in the past.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person is not employed.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person did not use cocaine in the past.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person wasn't a drug user in the past.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person did not use marijuana in the past.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person did not use opioids in the past.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person does not use cocaine.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person is not a drug user.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person does not use marijuana.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person does not use opioids.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person lives in their own or their family's home.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person is retired due to age or preference.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person is retired due to disability.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person is retired due to an unknown reason.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person is a student.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person used cocaine in the past.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person was a drug user in the past.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person used marijuana in the past.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person used opioids in the past.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person uses cocaine.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person is a drug user.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person uses marijuana.,False
"He does have smoking history as about a thirteen and a half pack year history of smoking, currently smoking about a quarter of a pack per day",The person uses opioids.,False
He does not abuse alcohol.,The person has access to transportation.,False
He does not abuse alcohol.,The person was a smoker in the past.,False
He does not abuse alcohol.,The person is able to obtain food on a consistent basis.,False
He does not abuse alcohol.,The person is currently a smoker.,False
He does not abuse alcohol.,The person currently drinks alcohol.,True
He does not abuse alcohol.,The person drank alcohol in the past.,False
He does not abuse alcohol.,The person is employed part time.,False
He does not abuse alcohol.,The person is employed.,False
He does not abuse alcohol.,The person lives in a housing facility.,False
He does not abuse alcohol.,The person lives in their own or their family's home.,False
He does not abuse alcohol.,The person is a homemaker.,False
He does not abuse alcohol.,The person wasn't a smoker in the past.,False
He does not abuse alcohol.,The person is currently not a smoker.,False
He does not abuse alcohol.,The person currently does not drink alcohol.,False
He does not abuse alcohol.,The person did not drink alcohol in the past.,False
He does not abuse alcohol.,The person is not employed.,False
He does not abuse alcohol.,The person did not use cocaine in the past.,False
He does not abuse alcohol.,The person wasn't a drug user in the past.,False
He does not abuse alcohol.,The person did not use marijuana in the past.,False
He does not abuse alcohol.,The person did not use opioids in the past.,False
He does not abuse alcohol.,The person does not use cocaine.,False
He does not abuse alcohol.,The person is not a drug user.,False
He does not abuse alcohol.,The person does not use marijuana.,False
He does not abuse alcohol.,The person does not use opioids.,False
He does not abuse alcohol.,The person lives in their own or their family's home.,False
He does not abuse alcohol.,The person is retired due to age or preference.,False
He does not abuse alcohol.,The person is retired due to disability.,False
He does not abuse alcohol.,The person is retired due to an unknown reason.,False
He does not abuse alcohol.,The person is a student.,False
He does not abuse alcohol.,The person used cocaine in the past.,False
He does not abuse alcohol.,The person was a drug user in the past.,False
He does not abuse alcohol.,The person used marijuana in the past.,False
He does not abuse alcohol.,The person used opioids in the past.,False
He does not abuse alcohol.,The person uses cocaine.,False
He does not abuse alcohol.,The person is a drug user.,False
He does not abuse alcohol.,The person uses marijuana.,False
He does not abuse alcohol.,The person uses opioids.,False
He does not drink,The person has access to transportation.,False
He does not drink,The person was a smoker in the past.,False
He does not drink,The person is able to obtain food on a consistent basis.,False
He does not drink,The person is currently a smoker.,False
